job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
Data Analyst,Jamise Syari,Jakarta,Tidak ditemukan,3 tahun,D1,Rp. 5.500.000,"Python, Excel, Power BI, Data Analysis, Data Visualization",Menganalisis data perusahaan,6/13/2026,Glints
Data Entry,Leoni Bali Gelato,Remote,Tidak ditemukan,1 tahun,SMA,Rp. 3.700.000,"Excel, Java",Mengelola database perusahaan,6/13/2026,Glints
Software Trainer,Omni Hotelier,Bali,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,Excel,Tidak ditemukan,6/13/2026,Glints
Software Engineer,PT. Meteor Inovasi Digital,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 7.000.000,"SQL, Excel, Java, PHP, Spring Boot",Mengembangkan sistem backend,6/13/2026,Glints
System Analyst,PT Sigma Global Teknologi,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 5.000.000,"SQL, Linux, PostgreSQL",Mengembangkan dan mengelola API,6/13/2026,Glints
Software Developer,PT ALPHA STORY INDONESIA,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 12.000.000,"Python, SQL, React, Git, PostgreSQL",Mengembangkan tampilan frontend,6/13/2026,Glints
Data Scienstist,PT Neural Technologies Indonesia (Official),Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"Machine Learning, Data Analysis",Membangun model machine learning,6/13/2026,Glints
Software Engineer,PT Golden Tekstil Indonesia,Tidak ditemukan,Tidak ditemukan,3 tahun,S1,Rp. 3.200.000,"Python, SQL, Java, Laravel, PHP",Mengembangkan sistem backend,6/13/2026,Glints
IT Manager,PT SINAR KREASI JAYA,Tidak ditemukan,Tidak ditemukan,10 tahun,S1,Tidak disebutkan,Git,Mengelola database perusahaan,6/13/2026,Glints
Data Analyst Internship,CLYCKS DIGITAL,Jakarta,Tidak ditemukan,1 tahun,D1,Rp. 750.000,"Excel, Power BI, Tableau, Data Analysis, Data Visualization",Menganalisis data perusahaan,6/13/2026,Glints
Software Development Engineer,PT Fan Integrasi Teknologi,Bandung,Tidak ditemukan,5 tahun,D1,Tidak disebutkan,"Java, Laravel",Mengembangkan tampilan frontend,6/13/2026,Glints
Software Engineer,PT. MUAT LOGISTIK INDONESIA,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 5.000.000,"Python, SQL, Git, MySQL",Mengembangkan sistem backend,6/13/2026,Glints
C++ Software Engineer,Surya Narayana Indonesia,Bali,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,Git,Mengembangkan aplikasi full stack,6/13/2026,Glints
Software Developer,Tivinity,Jakarta,Tidak ditemukan,30 tahun,D1,Rp. 5.000.000,"SQL, Java, JavaScript, HTML, CSS",Mengembangkan tampilan frontend,6/13/2026,Glints
Cloud Engineer,PT Eternal Kreasi Indonesia,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 8.000.000,"SQL, Git, Docker, AWS, Azure",Mengembangkan aplikasi full stack,6/13/2026,Glints
IT PROGRAMMER,PT. Artha Adipersada Surabaya,Surabaya,Tidak ditemukan,3 tahun,S1,Rp. 1.500.000,"Python, SQL, Java, PHP, MySQL",Mengembangkan sistem backend,6/13/2026,Glints
Automation Engineer,Elektrika Multikatama (Elmika),Bandung,Tidak ditemukan,3 tahun,S1,Rp. 3.500.000,Tidak ditemukan,Tidak ditemukan,6/13/2026,Glints
Software Developer,PT. Karpa Imaji Labs,Jakarta,Tidak ditemukan,10 tahun,S1,Rp. 10.000.000,"SQL, React, Node.js, Git",Mengembangkan aplikasi full stack,6/13/2026,Glints
IT Manager,Thiqla,Bandung,Tidak ditemukan,5 tahun,D1,Tidak disebutkan,"SQL, Java, JavaScript, PHP, Git",Mengembangkan dan mengelola API,6/13/2026,Glints
Software Developer,WIRATEK SOLUSI ASIA,Tidak ditemukan,Tidak ditemukan,3 tahun,S1,Rp. 2.000.000,"SQL, CSS, React, PHP, Git",Mengembangkan tampilan frontend,6/13/2026,Glints
Software Engineer,Duluin Group,Bandung,Tidak ditemukan,3 tahun,S1,Rp. 4.000.000,"SQL, Java, JavaScript, React, Laravel",Mengembangkan tampilan frontend,6/13/2026,Glints
Software Developer,PT Tomorrow World Internasional,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"Python, SQL, Java, JavaScript, React",Mengembangkan aplikasi full stack,6/13/2026,Glints
Automation Engineer,Indoserako Sejahterta,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 5.000.000,Tidak ditemukan,Menyusun laporan dan insight data,6/13/2026,Glints
Business Analyst,PT. Amalura Multi Dimensi,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 8.000.000,"SQL, Git",Melakukan pengujian sistem,6/13/2026,Glints
Business Analyst,PT Pasti Makmur Abadi,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 7.000.000,Excel,Menyusun laporan dan insight data,6/13/2026,Glints
Data Entry,Rhapsodie.co,Medan,Tidak ditemukan,3 tahun,D1,Rp. 3.000.000,"Excel, Git",Mengelola database perusahaan,6/13/2026,Glints
Software Engineer (IT Operational Engineer),Pt. Solusi Pembayaran Elektronik,Tidak ditemukan,Tidak ditemukan,5 tahun,S1,Rp. 10.000.000,"SQL, Laravel, PHP, Git, Docker",Mengembangkan sistem backend,6/13/2026,Glints
Software Engineer (Golang Engineer),Pt. Solusi Pembayaran Elektronik,Jakarta,Tidak ditemukan,5 tahun,D1,Rp. 10.000.000,"Python, SQL, PHP, Git, Docker",Mengembangkan sistem backend,6/13/2026,Glints
Operator Data Entry,PT. BELANJA TEKNIK SEJAHTERA,Tidak ditemukan,Tidak ditemukan,3 tahun,SMA,Rp. 3.000.000,Excel,Mengembangkan dan mengelola API,6/13/2026,Glints
Mechanical Design Engineer,PT. Norxel Teknologi Indonesia,Jakarta,Tidak ditemukan,3 tahun,D1,Rp. 3.500.000,Tidak ditemukan,Tidak ditemukan,6/13/2026,Glints
Software Engineer,PT. MUAT LOGISTIK INDONESIA,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 5.000.000,"Python, SQL, Git, MySQL",Mengembangkan sistem backend,6/13/2026,Glints
System Analyst,Geekgarden,Remote,Tidak ditemukan,5 tahun,D1,Tidak disebutkan,Git,Tidak ditemukan,6/13/2026,Glints
IT Support Engineer,PT Yafira Digital Technology,Surabaya,Tidak ditemukan,3 tahun,D1,Rp. 2.500.000,"Git, Linux",Tidak ditemukan,6/13/2026,Glints
Data Entry,Kan Jia Indonesia,Jakarta,Tidak ditemukan,3 tahun,SMA,Rp. 4.500.000,"Excel, Git",Mengelola database perusahaan,6/13/2026,Glints
Software Engineer,BSG Group,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"Python, SQL, Excel, Java, JavaScript",Mengembangkan aplikasi full stack,6/13/2026,Glints
Cloud Engineer,Pt. Tiga Daya Digital Indonesia,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 8.000.000,"Excel, Git, Docker, AWS",Mengembangkan dan mengelola API,6/13/2026,Glints
HVAC Engineer,Avalon Electric,Jakarta,Tidak ditemukan,5 tahun,D1,Tidak disebutkan,Excel,Mengembangkan dan mengelola API,6/13/2026,Glints
Software Tester,Unit Technology Corporation,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Bachelor,Tidak disebutkan,Git,Menyusun laporan dan insight data,6/13/2026,Glints
IT INFRASTRUCTURE,PT Cartenz Technology Indonesia,Jakarta,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,"Excel, Linux",Mengembangkan dan mengelola API,6/13/2026,Glints
IT Programmer,Regulus Group,Tidak ditemukan,Tidak ditemukan,1 tahun,S1,Rp. 4.000.000,"Python, SQL, Java, JavaScript, HTML",Mengembangkan sistem backend,6/13/2026,Glints
Data Analyst,Unitech Indonesia,Surabaya,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"SQL, Excel, Power BI, Tableau, MySQL",Menganalisis data perusahaan,6/13/2026,Glints
Software,PT.Konoh International Projects,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 6.000.000,"React, Node.js",Mengembangkan sistem backend,6/13/2026,Glints
Data Engineer,IDE Asia,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 7.200.000,Git,Mengelola database perusahaan,6/13/2026,Glints
SYSTEM ANALYST,PT Summarecon Agung Tbk,Jakarta,Tidak ditemukan,5 tahun,S1,Tidak disebutkan,Git,Melakukan pengujian sistem,6/13/2026,Glints
Data Analyst,PT. MEA DIGITAL MARKETING,Bandung,Tidak ditemukan,3 tahun,S1,Rp. 4.500.000,"SQL, Excel, Git",Menganalisis data perusahaan,6/13/2026,Glints
C++ Software Engineer,Surya Narayana Indonesia,Bali,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,Git,Mengembangkan aplikasi full stack,6/13/2026,Glints
IT Staff,PT Garuda Mitra Sejati,Remote,Tidak ditemukan,3 tahun,D1,Rp. 3.000.000,Git,Tidak ditemukan,6/13/2026,Glints
Data Analyts,PT Safepedia Global Teknologi,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 6.000.000,"Python, SQL, Tableau, Data Analysis, Data Visualization",Menganalisis data perusahaan,6/13/2026,Glints
Cloud Engineer,PT Evolusi Teknologi Solusi (Evoteks),Jakarta,Tidak ditemukan,5 tahun,S1,Tidak disebutkan,Git,Mengembangkan dan mengelola API,6/13/2026,Glints
IT Business Analyst,PT Sigma Global Teknologi,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 8.500.000,Tidak ditemukan,Tidak ditemukan,6/13/2026,Glints
Data Analyst,Jamise Syari,Jakarta,Tidak ditemukan,3 tahun,D1,Rp. 5.500.000,"Python, Excel, Power BI, Data Analysis, Data Visualization",Menganalisis data perusahaan,6/13/2026,Glints
Cloud Engineer,PT Arupa Cloud Nusantara,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 8.000.000,"Git, Linux",Mengembangkan dan mengelola API,6/13/2026,Glints
Data Analis,CV. Sunda Nikmat,Bandung,Tidak ditemukan,3 tahun,D1,Rp. 3.000.000,"Python, SQL, Excel, Power BI, Tableau",Menganalisis data perusahaan,6/13/2026,Glints
Software Engineer,PT Prima Vista Solusi,Jakarta,Tidak ditemukan,1 tahun,S1,Tidak disebutkan,Java,Mengembangkan sistem backend,6/13/2026,Glints
Software Engineer,Majoo Indonesia,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"SQL, Git, Docker, AWS, Azure",Mengembangkan aplikasi full stack,6/13/2026,Glints
System Analyst,ScaleOcean,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,Excel,Melakukan pengujian sistem,6/13/2026,Glints
IT Business Analyst,Ecentrix,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 1.000.000,Excel,Mengelola database perusahaan,6/13/2026,Glints
Presales Data,PT. Quad Sinergi Teknologi,Jakarta,Tidak ditemukan,5 tahun,S1,Tidak disebutkan,"Python, SQL, Machine Learning, PyTorch, Docker",Membangun model machine learning,6/13/2026,Glints
Software Engineer,Aldmic COOPN Digital,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 7.000.000,"SQL, Java, JavaScript, React, Laravel",Mengembangkan sistem backend,6/13/2026,Glints
IT PROGRAMMER,PT Rajawali Lintas Samudera,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"SQL, Java, JavaScript, HTML, CSS",Mengembangkan sistem backend,6/13/2026,Glints
IT PROGRAMMER,Pt Usaha Saudara Mandiri,Tidak ditemukan,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,"Python, SQL, Java, React, Vue",Mengembangkan sistem backend,6/13/2026,Glints
Cloud Engineer,PT Code Development Indonesia,Jakarta,Tidak ditemukan,5 tahun,S1,Tidak disebutkan,"Git, Docker, AWS, Azure, Linux",Mengelola database perusahaan,6/13/2026,Glints
Software Engineer,Majoo Indonesia,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"SQL, Git, Docker, AWS, Azure",Mengembangkan aplikasi full stack,6/13/2026,Glints
IT PROGRAMMER,Pt Usaha Saudara Mandiri,Tidak ditemukan,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,"Python, SQL, Java, React, Vue",Mengembangkan sistem backend,6/13/2026,Glints
Software Engineer,PT Golden Tekstil Indonesia,Tidak ditemukan,Tidak ditemukan,3 tahun,S1,Rp. 3.200.000,"Python, SQL, Java, Laravel, PHP",Mengembangkan sistem backend,6/13/2026,Glints
Data Analyst,PT. 4net Prima Solusi,Jakarta,Tidak ditemukan,3 tahun,D1,Rp. 6.000.000,"Python, SQL, Excel, Power BI, Tableau",Menganalisis data perusahaan,6/13/2026,Glints
Business Analyst,IDE Asia,Jakarta,Tidak ditemukan,10 tahun,S1,Rp. 7.000.000,"SQL, Data Analysis, Git",Tidak ditemukan,6/13/2026,Glints
Software Engineer,PT Inter Sistem Asia,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"Java, JavaScript, Laravel",Mengembangkan sistem backend,6/13/2026,Glints
Staff IT,PT Unimotor Technology Indonesia,Remote,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,Java,Tidak ditemukan,6/13/2026,Glints
IT Consultant,PT Cartenz Technology Indonesia,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"Excel, Git",Mengembangkan dan mengelola API,6/13/2026,Glints
Data Analis,Lozy,Bandung,Tidak ditemukan,3 tahun,D1,Tidak disebutkan,"SQL, Excel, Data Analysis, Data Visualization, Git",Menganalisis data perusahaan,6/13/2026,Glints
Data Quality Control (Data QC),PT Foktutek Teknologi Internasional,Jakarta,Tidak ditemukan,3 tahun,SMA,Rp. 3.000.000,Excel,Tidak ditemukan,6/13/2026,Glints
Data Engineer,PT Pronata Data Insani,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,"Python, SQL, Java, Git, AWS",Mengembangkan solusi berbasis data,6/13/2026,Glints
Business Analyst,PT Inosoft Trans Sistem,Surabaya,Tidak ditemukan,5 tahun,S1,Rp. 7.000.000,"Excel, Azure",Melakukan pengujian sistem,6/13/2026,Glints
System Analyst,PT Aksa Digital Group,Yogyakarta,Tidak ditemukan,5 tahun,S1,Rp. 4.000.000,"Java, Git",Mengembangkan dan mengelola API,6/13/2026,Glints
Data Engineer,Magna Solusi Indonesia,Jakarta,Tidak ditemukan,3 tahun,D1,Rp. 7.000.000,"SQL, Java, JavaScript, Power BI, Tableau",Membuat dashboard dan visualisasi data,6/13/2026,Glints
